法人番号,会社名,都道府県,市区町村,番地,郵便番号,公式URL,ECサイトURL,業種判定
1010001179427,株式会社インバウンドグループ,兵庫県,西宮市,甲子園高潮町３番４７−１００１号,6638166,https://inboundgroup.jp/,,食品・飲料、アパレル・ファッション
1010401075168,株式会社Ｍ’ｓ　ｌｉｆｅ．　ｃｏｒｐｏｒａｔｉｏｎ,兵庫県,西宮市,苦楽園三番町２番４５号,6620081,https://ms-life.life/,https://ms-online-shop.com/items/,アパレル・ファッション、雑貨・インテリア、ペット・園芸
1010701008447,富士幸産業株式会社,兵庫県,西宮市,浜甲子園１丁目１６−１８,6638154,http://fujikosangyo.jp/,https://www.fujisangyo-onlineshop.jp/,スポーツ・アウトドア、ペット・園芸
1011301015981,株式会社ルームセブンジャパン,兵庫県,西宮市,上大市４丁目１０番３６−４０２号,6638003,https://oilily.jp/company/,https://oilily.jp/company/,食品・飲料、雑貨・インテリア
1030001155260,株式会社七竈,兵庫県,西宮市,鳴尾浜２丁目１３番,6638142,https://data-link-plus.com/jp/corporation/1030001155260,https://www.npa.go.jp/bureau/cyber/countermeasures/fake-shop.html,アパレル・ファッション
1080401021272,日本プランテック株式会社,兵庫県,西宮市,南郷町８番４−１０２号,6620038,https://plantec.co.jp/,,雑貨・インテリア、スポーツ・アウトドア、ペット・園芸
1120001073486,株式会社アサヒ,兵庫県,西宮市,甲東園１丁目１番６−４１３号,6620812,https://www.asahigroup-holdings.com/,https://asahi-ec.shop/?mode=f11,食品・飲料、健康・サプリ
1120001076522,株式会社オサムシ,兵庫県,西宮市,千歳町２番１２−３１０号,6620046,https://www.osasi.co.jp/,https://www.osasi.co.jp/,アパレル・ファッション
1120001091892,淀幸振興株式会社,兵庫県,西宮市,川東町１０番２０−１２０２号,6620945,https://miyakonojo-bonchi.com/,https://www.shabon.com/shop/,スポーツ・アウトドア
1120001094061,株式会社在宅健康管理センター,兵庫県,西宮市,甲子園三保町２番２７号,6638163,https://data-link-plus.com/jp/corporation/1120001094061,,アパレル・ファッション、健康・サプリ
1120001104539,デューク株式会社,兵庫県,西宮市,甲子園口３丁目７番１４−１０３号,6638113,https://www.duke.co.jp/,https://www.duke.co.jp/,食品・飲料、ペット・園芸
1120001109793,株式会社ランドマーク建築事務所,兵庫県,西宮市,東山台４丁目１４−１１,6691133,https://lam.co.jp/,,アパレル・ファッション、雑貨・インテリア
1120001111477,株式会社セイントハウジング,兵庫県,西宮市,甲子園口北町２番９号,6638112,http://www.saint-housing.jp/,,アパレル・ファッション、ペット・園芸
1120001117838,株式会社Ｊ−ＳＴＡＴＩＯＮ,兵庫県,西宮市,寿町５番９−４０１号,6620047,http://jstation.com/,http://jstation.com/,食品・飲料、アパレル・ファッション、雑貨・インテリア、スポーツ・アウトドア、ペット・園芸
1120001118712,株式会社豊,兵庫県,西宮市,苦楽園四番町２６番１２号,6620088,https://www.yutaka-mfg.co.jp/,https://toyosu-shop.jp/,健康・サプリ
