法人番号,会社名,都道府県,市区町村,番地,郵便番号,公式URL,ECサイトURL,業種判定
1010001179427,株式会社インバウンドグループ,兵庫県,西宮市,甲子園高潮町３番４７−１００１号,6638166,https://inboundgroup.jp/,,食品・飲料、アパレル・ファッション
1010401075168,株式会社Ｍ’ｓ　ｌｉｆｅ．　ｃｏｒｐｏｒａｔｉｏｎ,兵庫県,西宮市,苦楽園三番町２番４５号,6620081,https://ms-life.life/,,アパレル・ファッション、雑貨・インテリア、ペット・園芸
1010701008447,富士幸産業株式会社,兵庫県,西宮市,浜甲子園１丁目１６−１８,6638154,http://fujikosangyo.jp/,,スポーツ・アウトドア、ペット・園芸
1011301015981,株式会社ルームセブンジャパン,兵庫県,西宮市,上大市４丁目１０番３６−４０２号,6638003,https://oilily.jp/company/,https://oilily.jp/company/,食品・飲料、雑貨・インテリア
1030001155260,株式会社七竈,兵庫県,西宮市,鳴尾浜２丁目１３番,6638142,https://data-link-plus.com/jp/corporation/1030001155260,,アパレル・ファッション
1080401021272,日本プランテック株式会社,兵庫県,西宮市,南郷町８番４−１０２号,6620038,https://plantec.co.jp/,,雑貨・インテリア、スポーツ・アウトドア、ペット・園芸
1120001073486,株式会社アサヒ,兵庫県,西宮市,甲東園１丁目１番６−４１３号,6620812,https://www.asahigroup-holdings.com/,,食品・飲料、健康・サプリ
1120001076522,株式会社オサムシ,兵庫県,西宮市,千歳町２番１２−３１０号,6620046,https://www.osasi.co.jp/,https://www.osasi.co.jp/,アパレル・ファッション
1120001091892,淀幸振興株式会社,兵庫県,西宮市,川東町１０番２０−１２０２号,6620945,https://miyakonojo-bonchi.com/,,スポーツ・アウトドア
1120001094061,株式会社在宅健康管理センター,兵庫県,西宮市,甲子園三保町２番２７号,6638163,https://data-link-plus.com/jp/corporation/1120001094061,,アパレル・ファッション、健康・サプリ
1120001104539,デューク株式会社,兵庫県,西宮市,甲子園口３丁目７番１４−１０３号,6638113,https://www.duke.co.jp/,https://www.duke.co.jp/,食品・飲料、ペット・園芸
1120001109793,株式会社ランドマーク建築事務所,兵庫県,西宮市,東山台４丁目１４−１１,6691133,https://lam.co.jp/,,アパレル・ファッション、雑貨・インテリア
1120001111477,株式会社セイントハウジング,兵庫県,西宮市,甲子園口北町２番９号,6638112,http://www.saint-housing.jp/,,アパレル・ファッション、ペット・園芸
1120001117838,株式会社Ｊ−ＳＴＡＴＩＯＮ,兵庫県,西宮市,寿町５番９−４０１号,6620047,http://jstation.com/,http://jstation.com/,食品・飲料、アパレル・ファッション、雑貨・インテリア、スポーツ・アウトドア、ペット・園芸
1120001118712,株式会社豊,兵庫県,西宮市,苦楽園四番町２６番１２号,6620088,https://www.yutaka-mfg.co.jp/,,健康・サプリ
1120001137869,株式会社ふぉー優,兵庫県,西宮市,松生町５番８号ベルトピア夙川３０１,6620076,https://foru.co.jp/,,コスメ・美容
1120001142605,株式会社ダイドープロパティ,兵庫県,西宮市,門戸東町４番５３号,6620824,https://holdings.dydo.co.jp/corporate/group/,,食品・飲料、ペット・園芸、健康・サプリ
1120001175596,株式会社ルーチェ,兵庫県,西宮市,苦楽園一番町２−６２フォレストテラス４０３号,6620083,https://luce.co.jp/,,食品・飲料、雑貨・インテリア、ペット・園芸
1120001181900,株式会社ダンデポート,兵庫県,西宮市,里中町３丁目１２番１２号,6638183,https://dandelionchocolate.jp/,https://dandelionchocolate.jp/,アパレル・ファッション
1120001195553,株式会社武田オフィス,兵庫県,西宮市,二見町１２番２８号ヘーベルメゾン甲子園二見町３０２号室,6638111,https://www.takeda.com/jp/about/our-company/,https://www.takeda.com/jp/about/our-company/,食品・飲料、健康・サプリ
1120001205915,株式会社イズム,兵庫県,西宮市,久保町１４番３０−５号,6620927,https://www.ism-jp.com/,,アパレル・ファッション
1120001206847,株式会社サンモート,兵庫県,西宮市,小松東町３丁目９−１１田辺ビル２階,6638123,https://www.sanmoat-hori.com/company,https://www.sanmoat-hori.com/company,食品・飲料、アパレル・ファッション、雑貨・インテリア
1120001209098,株式会社フィビック,兵庫県,西宮市,山口町名来１丁目１６番３号,6511411,https://fabbit.co.jp/,,食品・飲料、アパレル・ファッション
1120001247718,Ｐａｖｏ　Ｓｔｕｄｉｏ株式会社,兵庫県,西宮市,羽衣町６−５デュオ夙川４０２号室,6620051,https://www.vapestudio.jp/,https://www.vapestudio.jp/,食品・飲料、アパレル・ファッション、コスメ・美容、雑貨・インテリア
1120001257411,株式会社ＭＵＭＵ,兵庫県,西宮市,甲子園口３丁目１６番１１号,6638113,https://muumu.co.jp/,,アパレル・ファッション、スポーツ・アウトドア
1120001262519,アイエフジェイ株式会社,兵庫県,西宮市,池田町９番２０号ブリックコート西宮６Ｆ,6620911,https://ifj-ltd.jp/,,食品・飲料、コスメ・美容、雑貨・インテリア、健康・サプリ
1120001266412,アセンダ株式会社,兵庫県,西宮市,津門川町１番１号,6638233,https://ascenda-inc.jp/,,食品・飲料
1120001266783,株式会社ルキンフォー,兵庫県,西宮市,結善町３番３４−４０２,6620037,https://lookingfor.base.ec/,https://lookingfor.base.ec/,スポーツ・アウトドア
